Facade,Approach,Window IoU,Window Precision,Window Recall,Window F1,Overall IoU,Overall Precision,Overall Recall,Overall F1
facade1,UNet,0.20628415836106948,0.8172765788542681,0.21625801820298182,0.3420158623675876,0.21363931509663223,0.8197738886476736,0.224168109300088,0.35206393270006614
facade1,MaskRCNN,0.36515410657128616,0.5795718163014997,0.4967319843588246,0.5349639352504731,0.52224302470449,0.6223457502824175,0.7645298034898106,0.6861493417165975
facade1,Fusion (before boxes),0.4415786783199462,0.7384358796461818,0.5234537717234108,0.6126320885927367,0.4573358248062443,0.7394625027872062,0.5451839180660325,0.6276327212795278
facade1,Fusion (after boxes),0.4761419765509548,0.6909195966351146,0.6050091763815146,0.6451167761338674,0.4923954576295397,0.693137867002062,0.6296541195993718,0.6598726297042161
facade2,UNet,0.05755656766971993,0.6393200781778544,0.0594882224003903,0.10884820617833606,0.0576441219364466,0.6396705076154042,0.05957871507398104,0.10900476016953971
facade2,MaskRCNN,0.3873007763438642,0.6069148644078322,0.5169842070612264,0.5583515599697252,0.43571545077171414,0.5743890665328418,0.643461051865854,0.6069663045023782
facade2,Fusion (before boxes),0.3693883541006462,0.5957277640919385,0.49296080661759367,0.5394939323977448,0.3720924688235323,0.5953097274849573,0.4980808558595973,0.5423722923113818
facade2,Fusion (after boxes),0.4239847565871401,0.5977176783036299,0.5932800228024051,0.5954905831544208,0.4239847565871401,0.5977176783036299,0.5932800228024051,0.5954905831544208
facade3,UNet,0.27125165075934926,0.9581491813380859,0.2745039599675001,0.4267473722851311,0.2732900971033975,0.9568257010818186,0.27670225448581165,0.42926603717872125
facade3,MaskRCNN,0.31766980217461555,0.5731104081152447,0.41613639297456956,0.48216905573496033,0.5887088711502133,0.6572284556188684,0.8495516086656084,0.7411161123370851
facade3,Fusion (before boxes),0.4486534059226945,0.7333182731705795,0.5361275846096603,0.6194075188075645,0.45019650186974497,0.7335315165674454,0.5382176729211119,0.6208765519071446
facade3,Fusion (after boxes),0.5000037544922499,0.7053241927488273,0.6320324542686399,0.6666700039349078,0.5000037544922499,0.7053241927488273,0.6320324542686399,0.6666700039349078
